NextprotID,Anchor,GeneName,Chr,ProteinEvidence,PE,Missing
NX_O94768,,STK17B,2,protein level,PE1,0
NX_Q9P2P5,,HECW2,2,protein level,PE1,0
NX_Q8NCX0,,CCDC150,2,transcript level,PE2,1
NX_Q9Y5Q9,,GTF3C3,2,protein level,PE1,0
NX_Q6UXQ4,,C2orf66,2,transcript level,PE2,1
NX_Q75T13,,PGAP1,2,protein level,PE1,0
NX_Q8N8A2,,ANKRD44,2,protein level,PE1,0
NX_O75533,,SF3B1,2,protein level,PE1,0
NX_Q9H8M1,,COQ10B,2,protein level,PE1,0
NX_P10809,,HSPD1,2,protein level,PE1,0
NX_P61604,,HSPE1,2,protein level,PE1,0
NX_Q9Y3A3,,MOB4,2,protein level,PE1,0
NX_Q52LD8,,RFTN2,2,protein level,PE1,0
NX_Q96GW9,,MARS2,2,protein level,PE1,0
NX_Q8N9W6,,BOLL,2,protein level,PE1,0
NX_Q15111,,PLCL1,2,protein level,PE1,0
NX_Q9UPW6,,SATB2,2,protein level,PE1,0
NX_E5RQL4,,FTCDNL1,2,transcript level,PE2,1
NX_Q8N8R5,,C2orf69,2,protein level,PE1,0
NX_A2RUC4,,TYW5,2,protein level,PE1,0
NX_Q8WWC4,,C2orf47,2,protein level,PE1,0
NX_Q9NUQ6,,SPATS2L,2,protein level,PE1,0
NX_Q6PI47,,KCTD18,2,protein level,PE1,0
NX_Q562F6,,SGOL2,2,protein level,PE1,0
NX_Q06278,,AOX1,2,protein level,PE1,0
NX_Q7L1Q6,,BZW1,2,protein level,PE1,0
NX_P49759,,CLK1,2,protein level,PE1,0
NX_Q9H2H8,,PPIL3,2,protein level,PE1,0
NX_Q9GZT8,,NIF3L1,2,protein level,PE1,0
NX_Q13416,,ORC2,2,protein level,PE1,0
NX_Q8IXS8,,FAM126B,2,protein level,PE1,0
NX_O43676,,NDUFB3,2,protein level,PE1,0
NX_O15519,,CFLAR,2,protein level,PE1,0
NX_Q92851,,CASP10,2,protein level,PE1,0
NX_Q14790,,CASP8,2,protein level,PE1,0
NX_Q96Q35,,ALS2CR12,2,protein level,PE1,0
NX_O60296,,TRAK2,2,protein level,PE1,0
NX_Q9C0K7,,STRADB,2,protein level,PE1,0
NX_Q53TS8,,ALS2CR11,2,transcript level,PE2,1
NX_Q96Q45,,TMEM237,2,protein level,PE1,0
NX_Q96JB8,,MPP4,2,protein level,PE1,0
NX_Q96Q42,,ALS2,2,protein level,PE1,0
NX_Q96Q40,,CDK15,2,protein level,PE1,0
NX_O75084,,FZD7,2,protein level,PE1,0
NX_Q0VF49,,KIAA2012,2,transcript level,PE2,1
NX_P63165,,SUMO1,2,protein level,PE1,0
NX_Q9Y2X3,,NOP58,2,protein level,PE1,0
NX_Q13873,,BMPR2,2,protein level,PE1,0
NX_Q6P1L5,,FAM117B,2,protein level,PE1,0
NX_Q8NDH6,,ICA1L,2,protein level,PE1,0
NX_Q9GZL7,,WDR12,2,protein level,PE1,0
NX_Q8N187,,CARF,2,protein level,PE1,0
NX_Q6ZS30,,NBEAL1,2,protein level,PE1,0
NX_Q6UW02,,CYP20A1,2,protein level,PE1,0
NX_Q9NYB9,,ABI2,2,protein level,PE1,0
NX_Q70E73,,RAPH1,2,protein level,PE1,0
NX_P10747,,CD28,2,protein level,PE1,0
NX_P16410,,CTLA4,2,protein level,PE1,0
NX_Q9Y6W8,,ICOS,2,protein level,PE1,0
NX_Q8TEW8,,PARD3B,2,protein level,PE1,0
NX_O60462,,NRP2,2,protein level,PE1,0
NX_Q53TQ3,,INO80D,2,protein level,PE1,0
NX_P28331,,NDUFS1,2,protein level,PE1,0
NX_P24534,,EEF1B2,2,protein level,PE1,0
NX_P46091,,GPR1,2,protein level,PE1,0
NX_Q9HCK1,,ZDBF2,2,protein level,PE1,0
NX_O75077,,ADAM23,2,protein level,PE1,0
NX_A2CJ06,,DYTN,2,transcript level,PE2,1
NX_Q5I0G3,,MDH1B,2,transcript level,PE2,1
NX_Q9NYY8,,FASTKD2,2,protein level,PE1,0
NX_Q8IVL8,,CPO,2,protein level,PE1,0
NX_O75840,,KLF7,2,transcript level,PE2,1
NX_P16220,,CREB1,2,protein level,PE1,0
NX_Q8WXB1,,METTL21A,2,protein level,PE1,0
NX_Q8N7R7,,CCNYL1,2,protein level,PE1,0
NX_Q13467,,FZD5,2,protein level,PE1,0
NX_Q6ZWE6,,PLEKHM3,2,protein level,PE1,0
NX_P07320,,CRYGD,2,protein level,PE1,0
NX_P07315,,CRYGC,2,protein level,PE1,0
NX_P07316,,CRYGB,2,protein level,PE1,0
NX_P11844,,CRYGA,2,protein level,PE1,0
NX_Q0P641,,C2orf80,2,transcript level,PE2,1
NX_O75874,,IDH1,2,protein level,PE1,0
NX_Q9Y2I7,,PIKFYVE,2,protein level,PE1,0
NX_P49190,,PTH2R,2,protein level,PE1,0
NX_P11137,,MAP2,2,protein level,PE1,0
NX_Q8N2C7,,UNC80,2,protein level,PE1,0
NX_Q96AT9,,RPE,2,protein level,PE1,0
NX_A0AUZ9,,KANSL1L,2,protein level,PE1,0
NX_P28330,,ACADL,2,protein level,PE1,0
NX_P05976,,MYL1,2,protein level,PE1,0
NX_O43813,,LANCL1,2,protein level,PE1,0
NX_P31327,,CPS1,2,protein level,PE1,0
NX_Q15303,,ERBB4,2,protein level,PE1,0
NX_Q9UKS7,,IKZF2,2,protein level,PE1,0
NX_Q8N0X2,,SPAG16,2,protein level,PE1,0
NX_B2RUY7,,VWC2L,2,transcript level,PE2,1
NX_Q99728,,BARD1,2,protein level,PE1,0
NX_Q86UK0,,ABCA12,2,protein level,PE1,0
NX_P31939,,ATIC,2,protein level,PE1,0
NX_P02751,,FN1,2,protein level,PE1,0
NX_Q8N565,,MREG,2,protein level,PE1,0
NX_Q9BY49,,PECR,2,protein level,PE1,0
NX_Q96HH4,,TMEM169,2,transcript level,PE2,1
NX_P13010,,XRCC5,2,protein level,PE1,0
NX_Q9P2E8,,4-Mar,2,transcript level,PE2,1
NX_Q9NZC9,,SMARCAL1,2,protein level,PE1,0
NX_P61513,,RPL37A,2,protein level,PE1,0
NX_P18065,,IGFBP2,2,protein level,PE1,0
NX_P24593,,IGFBP5,2,protein level,PE1,0
NX_P09430,,TNP1,2,protein level,PE1,0
NX_Q9HBL0,,TNS1,2,protein level,PE1,0
NX_Q6ZNE9,,RUFY4,2,transcript level,PE2,1
NX_P25025,,CXCR2,2,protein level,PE1,0
NX_P25024,,CXCR1,2,protein level,PE1,0
NX_O15144,,ARPC2,2,protein level,PE1,0
NX_Q8TDU6,,GPBAR1,2,transcript level,PE2,1
NX_Q13685,,AAMP,2,protein level,PE1,0
NX_Q8N490,,PNKD,2,protein level,PE1,0
NX_Q969X1,,TMBIM1,2,protein level,PE1,0
NX_Q7Z7H3,,C2orf62,2,transcript level,PE2,1
NX_P49279,,SLC11A1,2,transcript level,PE2,1
NX_Q9GZU7,,CTDSP1,2,protein level,PE1,0
NX_P09327,,VIL1,2,protein level,PE1,0
NX_Q86T82,,USP37,2,protein level,PE1,0
NX_Q92600,,RQCD1,2,protein level,PE1,0
NX_Q9BRC7,,PLCD4,2,protein level,PE1,0
NX_P52746,,ZNF142,2,protein level,PE1,0
NX_Q9Y276,,BCS1L,2,protein level,PE1,0
NX_Q96BH1,,RNF25,2,protein level,PE1,0
NX_Q9NRP7,,STK36,2,protein level,PE1,0
NX_Q14679,,TTLL4,2,protein level,PE1,0
NX_Q02318,,CYP27A1,2,protein level,PE1,0
NX_Q9UGI9,,PRKAG3,2,protein level,PE1,0
NX_Q9Y6F9,,WNT6,2,transcript level,PE2,1
NX_Q9GZT5,,WNT10A,2,protein level,PE1,0
NX_Q13319,,CDK5R2,2,protein level,PE1,0
NX_Q99581,,FEV,2,protein level,PE1,0
NX_P53672,,CRYBA2,2,protein level,PE1,0
NX_Q6ZU64,,CCDC108,2,transcript level,PE2,1
NX_Q14623,,IHH,2,protein level,PE1,0
NX_Q9H9Q4,,NHEJ1,2,protein level,PE1,0
NX_Q6PIS1,,SLC23A3,2,transcript level,PE2,1
NX_Q9BV87,,CNPPD1,2,protein level,PE1,0
NX_Q8NC44,,FAM134A,2,protein level,PE1,0
NX_Q8WV99,,ZFAND2B,2,protein level,PE1,0
NX_Q9NP58,,ABCB6,2,protein level,PE1,0
NX_Q7Z3C6,,ATG9A,2,protein level,PE1,0
NX_Q9H8Y5,,ANKZF1,2,protein level,PE1,0
NX_Q6UWU2,,GLB1L,2,protein level,PE1,0
NX_O75716,,STK16,2,protein level,PE1,0
NX_P68366,,TUBA4A,2,protein level,PE1,0
NX_Q9H853,,TUBA4B,2,uncertain,PE5,0
NX_P25686,,DNAJB2,2,protein level,PE1,0
NX_Q16849,,PTPRN,2,protein level,PE1,0
NX_Q5W5W9,,RESP18,2,transcript level,PE2,1
NX_Q9ULA0,,DNPEP,2,protein level,PE1,0
NX_P17661,,DES,2,protein level,PE1,0
NX_Q15772,,SPEG,2,protein level,PE1,0
NX_Q96IJ6,,GMPPA,2,protein level,PE1,0
NX_Q96FT7,,ASIC4,2,protein level,PE1,0
NX_Q8IZ52,,CHPF,2,protein level,PE1,0
NX_Q66K66,,TMEM198,2,protein level,PE1,0
NX_O75147,,OBSL1,2,protein level,PE1,0
NX_P05111,,INHA,2,protein level,PE1,0
NX_Q8N1F8,,STK11IP,2,protein level,PE1,0
NX_P48751,,SLC4A3,2,protein level,PE1,0
NX_P54764,,EPHA4,2,protein level,PE1,0
NX_P23760,,PAX3,2,protein level,PE1,0
NX_Q96MF4,,CCDC140,2,transcript level,PE2,1
NX_Q6PK30,,CT75,2,transcript level,PE2,1
NX_Q8IWX5,,SGPP2,2,transcript level,PE2,1
NX_Q9NSD9,,FARSB,2,protein level,PE1,0
NX_Q96PD6,,MOGAT1,2,transcript level,PE2,1
NX_O95573,,ACSL3,2,protein level,PE1,0
NX_Q8WWG9,,KCNE4,2,protein level,PE1,0
NX_P13521,,SCG2,2,protein level,PE1,0
NX_Q96PC3,,AP1S3,2,protein level,PE1,0
NX_Q8IWB7,,WDFY1,2,protein level,PE1,0
NX_Q9H9J2,,MRPL44,2,protein level,PE1,0
NX_P07093,,SERPINE2,2,protein level,PE1,0
NX_Q9H5Z6,,FAM124B,2,protein level,PE1,0
NX_Q13618,,CUL3,2,protein level,PE1,0
NX_Q96BY6,,DOCK10,2,protein level,PE1,0
NX_Q9P242,,NYAP2,2,protein level,PE1,0
NX_P35568,,IRS1,2,protein level,PE1,0
NX_Q8TEB9,,RHBDD1,2,protein level,PE1,0
NX_P53420,,COL4A4,2,protein level,PE1,0
NX_Q01955,,COL4A3,2,protein level,PE1,0
NX_Q9GZY8,,MFF,2,protein level,PE1,0
NX_Q53R12,,TM4SF20,2,transcript level,PE2,1
NX_P52594,,AGFG1,2,protein level,PE1,0
NX_Q53S99,,C2orf83,2,transcript level,PE2,1
NX_Q9BZV2,,SLC19A3,2,protein level,PE1,0
NX_P78556,,CCL20,2,protein level,PE1,0
NX_Q8N136,,DAW1,2,protein level,PE1,0
NX_Q2M3C7,,SPHKAP,2,protein level,PE1,0
NX_Q7Z2X4,,PID1,2,protein level,PE1,0
NX_Q8NFT8,,DNER,2,protein level,PE1,0
NX_Q14669,,TRIP12,2,protein level,PE1,0
NX_Q8NEA4,,FBXO36,2,transcript level,PE2,1
NX_Q7RTX9,,SLC16A14,2,transcript level,PE2,1
NX_Q9HB58,,SP110,2,protein level,PE1,0
NX_Q13342,,SP140,2,protein level,PE1,0
NX_Q9H930,,SP140L,2,protein level,PE1,0
NX_P23497,,SP100,2,protein level,PE1,0
NX_Q9Y376,,CAB39,2,protein level,PE1,0
NX_Q9NQX7,,ITM2C,2,protein level,PE1,0
NX_Q9Y2T6,,GPR55,2,protein level,PE1,0
NX_Q8NHX4,,SPATA3,2,transcript level,PE2,1
NX_A6NCS6,,C2orf72,2,protein level,PE1,0
NX_Q99460,,PSMD1,2,protein level,PE1,0
NX_P41595,,HTR2B,2,protein level,PE1,0
NX_Q7Z3E5,,ARMC9,2,protein level,PE1,0
NX_Q8NFL0,,B3GNT7,2,protein level,PE1,0
NX_P19338,,NCL,2,protein level,PE1,0
NX_Q8N535,,LINC00471,2,uncertain,PE5,0
NX_Q9HB89,,NMUR1,2,transcript level,PE2,1
NX_Q53QW1,,C2orf57,2,transcript level,PE2,1
NX_P06454,,PTMA,2,protein level,PE1,0
NX_O43924,,PDE6D,2,protein level,PE1,0
NX_Q9H9Q2,,COPS7B,2,protein level,PE1,0
NX_P23582,,NPPC,2,protein level,PE1,0
NX_Q8IYB7,,DIS3L2,2,protein level,PE1,0
NX_P05187,,ALPP,2,protein level,PE1,0
NX_P10696,,ALPPL2,2,protein level,PE1,0
NX_P09923,,ALPI,2,protein level,PE1,0
NX_O95672,,ECEL1,2,protein level,PE1,0
NX_P0CW18,,PRSS56,2,protein level,PE1,0
NX_Q07001,,CHRND,2,protein level,PE1,0
NX_P07510,,CHRNG,2,protein level,PE1,0
NX_Q96MW7,,TIGD1,2,protein level,PE1,0
NX_O60573,,EIF4E2,2,protein level,PE1,0
NX_Q9BUP0,,EFHD1,2,protein level,PE1,0
NX_Q6Y7W6,,GIGYF2,2,protein level,PE1,0
NX_O60928,,KCNJ13,2,protein level,PE1,0
NX_Q6UX34,,C2orf82,2,protein level,PE1,0
NX_Q8N5V2,,NGEF,2,protein level,PE1,0
NX_Q9Y3R4,,NEU2,2,protein level,PE1,0
NX_Q92835,,INPP5D,2,protein level,PE1,0
NX_Q676U5,,ATG16L1,2,protein level,PE1,0
NX_P10523,,SAG,2,transcript level,PE2,1
NX_Q16760,,DGKD,2,protein level,PE1,0
NX_Q9NVE5,,USP40,2,protein level,PE1,0
NX_Q9HAW9,,UGT1A8,2,protein level,PE1,0
NX_Q9HAW8,,UGT1A10,2,protein level,PE1,0
NX_O60656,,UGT1A9,2,protein level,PE1,0
NX_Q9HAW7,,UGT1A7,2,protein level,PE1,0
NX_P19224,,UGT1A6,2,protein level,PE1,0
NX_P35504,,UGT1A5,2,transcript level,PE2,1
NX_P22310,,UGT1A4,2,protein level,PE1,0
NX_P35503,,UGT1A3,2,protein level,PE1,0
NX_Q8WWF6,,DNAJB3,2,protein level,PE1,0
NX_P22309,,UGT1A1,2,protein level,PE1,0
NX_A6NES4,,MROH2A,2,predicted,PE4,1
NX_Q8NCD3,,HJURP,2,protein level,PE1,0
NX_P0C860,,MSL3P1,2,uncertain,PE5,0
NX_Q7Z2W7,,TRPM8,2,protein level,PE1,0
NX_Q13103,,SPP2,2,protein level,PE1,0
NX_P56559,,ARL4C,2,protein level,PE1,0
NX_Q9P0V3,,SH3BP4,2,protein level,PE1,0
NX_Q9UPQ3,,AGAP1,2,protein level,PE1,0
NX_P52951,,GBX2,2,transcript level,PE2,1
NX_Q6ZVZ8,,ASB18,2,transcript level,PE2,1
NX_Q86XH1,,IQCA1,2,protein level,PE1,0
NX_P25106,,CXCR7,2,protein level,PE1,0
NX_Q99627,,COPS8,2,protein level,PE1,0
NX_P12111,,COL6A3,2,protein level,PE1,0
NX_Q9BV36,,MLPH,2,protein level,PE1,0
NX_P81277,,PRLH,2,transcript level,PE2,1
NX_Q9H0T7,,RAB17,2,protein level,PE1,0
NX_Q32MZ4,,LRRFIP1,2,protein level,PE1,0
NX_Q6ZP01,,RBM44,2,transcript level,PE2,1
NX_O60894,,RAMP1,2,protein level,PE1,0
NX_Q969M7,,UBE2F,2,protein level,PE1,0
NX_Q96I15,,SCLY,2,protein level,PE1,0
NX_Q6ZVH7,,ESPNL,2,protein level,PE1,0
NX_Q0D2K2,,KLHL30,2,transcript level,PE2,1
NX_Q8NEE0,,KLHL30-AS1,2,uncertain,PE5,0
NX_Q4G0M1,,FAM132B,2,protein level,PE1,0
NX_Q9H0C8,,ILKAP,2,protein level,PE1,0
NX_Q96HZ4,,HES6,2,protein level,PE1,0
NX_O15055,,PER2,2,protein level,PE1,0
NX_Q8TDR0,,TRAF3IP1,2,protein level,PE1,0
NX_Q9Y576,,ASB1,2,protein level,PE1,0
NX_Q8WVJ9,,TWIST2,2,protein level,PE1,0
NX_P56524,,HDAC4,2,protein level,PE1,0
NX_O95299,,NDUFA10,2,protein level,PE1,0
NX_Q6IFH4,,OR6B2,2,transcript level,PE2,1
NX_Q8WXC7,,PRR21,2,uncertain,PE5,0
NX_Q8NGW1,,OR6B3,2,transcript level,PE2,1
NX_Q8WXC6,,MYEOV2,2,protein level,PE1,0
NX_Q8NHW6,,OTOS,2,transcript level,PE2,1
NX_P35052,,GPC1,2,protein level,PE1,0
NX_Q9P2S6,,ANKMY1,2,transcript level,PE2,1
NX_Q4G0W2,,DUSP28,2,protein level,PE1,0
NX_Q9HAU8,,RNPEPL1,2,transcript level,PE2,1
NX_Q9HC96,,CAPN10,2,transcript level,PE2,1
NX_Q9HC97,,GPR35,2,transcript level,PE2,1
NX_A6NM10,,AQP12B,2,protein level,PE1,0
NX_Q8IXF9,,AQP12A,2,transcript level,PE2,1
NX_Q12756,,KIF1A,2,protein level,PE1,0
NX_P21549,,AGXT,2,protein level,PE1,0
NX_Q08AI8,,C2orf54,2,protein level,PE1,0
NX_H7BZ55,,-,2,uncertain,PE5,0
NX_Q8TER0,,SNED1,2,protein level,PE1,0
NX_Q7Z6M4,,MTERFD2,2,protein level,PE1,0
NX_Q96RG2,,PASK,2,protein level,PE1,0
NX_Q15435,,PPP1R7,2,protein level,PE1,0
NX_Q6IWH7,,ANO7,2,protein level,PE1,0
NX_Q00341,,HDLBP,2,protein level,PE1,0
NX_Q15019,,2-Sep,2,protein level,PE1,0
NX_O94887,,FARP2,2,protein level,PE1,0
NX_O00506,,STK25,2,protein level,PE1,0
NX_Q9UMX3,,BOK,2,protein level,PE1,0
NX_Q8WY91,,THAP4,2,protein level,PE1,0
NX_Q9Y4P1,,ATG4B,2,protein level,PE1,0
NX_P23919,,DTYMK,2,protein level,PE1,0
NX_Q8WYH8,,ING5,2,protein level,PE1,0
NX_Q8N465,,D2HGDH,2,protein level,PE1,0
NX_Q9H3Q3,,GAL3ST2,2,protein level,PE1,0
NX_Q8WWR8,,NEU4,2,protein level,PE1,0
NX_Q15116,,PDCD1,2,protein level,PE1,0
NX_Q14D33,,CXXC11,2,transcript level,PE2,1
NX_Q9N2J8,,-,2,transcript level,PE2,1
NX_Q9N2K0,,-,2,transcript level,PE2,1
NX_O00533,,CHL1,3,protein level,PE1,0
NX_Q9UQ52,,CNTN6,3,protein level,PE1,0
NX_Q8IWV2,,CNTN4,3,protein level,PE1,0
NX_Q01344,,IL5RA,3,protein level,PE1,0
NX_Q96Q11,,TRNT1,3,protein level,PE1,0
NX_Q96SW2,,CRBN,3,protein level,PE1,0
NX_Q8NBK3,,SUMF1,3,protein level,PE1,0
NX_Q6UXK5,,LRRN1,3,protein level,PE1,0
NX_Q53H47,,SETMAR,3,protein level,PE1,0
NX_Q14643,,ITPR1,3,protein level,PE1,0
NX_O14503,,BHLHE40,3,protein level,PE1,0
NX_Q9NVJ2,,ARL8B,3,protein level,PE1,0
NX_Q92611,,EDEM1,3,protein level,PE1,0
NX_Q14831,,GRM7,3,protein level,PE1,0
NX_Q9NZU5,,LMCD1,3,protein level,PE1,0
NX_Q9Y6C7,,LINC00312,3,uncertain,PE5,0
NX_Q9Y2M2,,SSUH2,3,protein level,PE1,0
NX_P56539,,CAV3,3,protein level,PE1,0
NX_P30559,,OXTR,3,protein level,PE1,0
NX_Q9NS91,,RAD18,3,protein level,PE1,0
NX_O43295,,SRGAP3,3,protein level,PE1,0
NX_Q6ZR93,,-,3,transcript level,PE2,1
NX_Q9BV44,,THUMPD3,3,protein level,PE1,0
NX_Q9C0A6,,SETD5,3,protein level,PE1,0
NX_Q7Z7J7,,LHFPL4,3,transcript level,PE2,1
NX_Q8NCE2,,MTMR14,3,protein level,PE1,0
NX_Q8IYJ1,,CPNE9,3,protein level,PE1,0
NX_P55201,,BRPF1,3,protein level,PE1,0
NX_O15527,,OGG1,3,protein level,PE1,0
NX_Q14012,,CAMK1,3,protein level,PE1,0
NX_O75528,,TADA3,3,protein level,PE1,0
NX_P59998,,ARPC4,3,protein level,PE1,0
NX_Q9Y4R7,,TTLL3,3,protein level,PE1,0
NX_Q6P087,,RPUSD3,3,protein level,PE1,0
NX_Q96AQ7,,CIDEC,3,protein level,PE1,0
NX_Q8N5M9,,JAGN1,3,protein level,PE1,0
NX_Q8NFR9,,IL17RE,3,protein level,PE1,0
NX_Q8NAC3,,IL17RC,3,protein level,PE1,0
NX_Q96HD1,,CRELD1,3,protein level,PE1,0
NX_Q5FWE3,,PRRT3,3,protein level,PE1,0
NX_Q9P0I2,,EMC3,3,protein level,PE1,0
NX_Q9BXW9,,FANCD2,3,protein level,PE1,0
NX_Q96PS1,,FANCD2OS,3,transcript level,PE2,1
NX_Q8WUW1,,BRK1,3,protein level,PE1,0
NX_P40337,,VHL,3,protein level,PE1,0
NX_O43187,,IRAK2,3,protein level,PE1,0
NX_Q93075,,TATDN2,3,protein level,PE1,0
NX_Q9UBU3,,GHRL,3,protein level,PE1,0
NX_P55735,,SEC13,3,protein level,PE1,0
NX_Q01814,,ATP2B2,3,protein level,PE1,0
NX_P48066,,SLC6A11,3,protein level,PE1,0
NX_P30531,,SLC6A1,3,protein level,PE1,0
NX_P35367,,HRH1,3,protein level,PE1,0
NX_O95352,,ATG7,3,protein level,PE1,0
NX_Q14135,,VGLL4,3,protein level,PE1,0
NX_Q96BW9,,TAMM41,3,protein level,PE1,0
NX_Q92777,,SYN2,3,protein level,PE1,0
NX_Q99727,,TIMP4,3,protein level,PE1,0
NX_P37231,,PPARG,3,protein level,PE1,0
NX_Q8NCE0,,TSEN2,3,protein level,PE1,0
NX_H3BPM6,,C3orf83,3,predicted,PE4,1
NX_Q9H000,,MKRN2,3,protein level,PE1,0
NX_P04049,,RAF1,3,protein level,PE1,0
NX_Q8WWA1,,TMEM40,3,protein level,PE1,0
NX_O75155,,CAND2,3,protein level,PE1,0
NX_P62910,,RPL32,3,protein level,PE1,0
NX_Q6DN90,,IQSEC1,3,protein level,PE1,0
NX_Q8TEM1,,NUP210,3,protein level,PE1,0
NX_Q96DB2,,HDAC11,3,protein level,PE1,0
NX_P98095,,FBLN2,3,protein level,PE1,0
NX_O00755,,WNT7A,3,protein level,PE1,0
NX_Q17RH7,,TPRXL,3,uncertain,PE5,0
NX_Q8N4Q1,,CHCHD4,3,protein level,PE1,0
NX_Q9BTV4,,TMEM43,3,protein level,PE1,0
NX_Q01831,,XPC,3,protein level,PE1,0
NX_P62310,,LSM3,3,protein level,PE1,0
NX_P31641,,SLC6A6,3,protein level,PE1,0
NX_Q9C0E4,,GRIP2,3,protein level,PE1,0
NX_Q6PII3,,CCDC174,3,protein level,PE1,0
NX_Q8ND61,,C3orf20,3,protein level,PE1,0
NX_Q6ZNL6,,FGD5,3,protein level,PE1,0
NX_P49116,,NR2C2,3,protein level,PE1,0
NX_P82663,,MRPS25,3,protein level,PE1,0
NX_Q9H1K0,,ZFYVE20,3,protein level,PE1,0
NX_Q9Y6W3,,CAPN7,3,protein level,PE1,0
NX_O60239,,SH3BP5,3,protein level,PE1,0
NX_Q8TCB7,,METTL6,3,protein level,PE1,0
NX_Q96JC9,,EAF1,3,protein level,PE1,0
NX_Q9Y215,,COLQ,3,protein level,PE1,0
NX_Q9UJ83,,HACL1,3,protein level,PE1,0
NX_P43251,,BTD,3,protein level,PE1,0
NX_O15084,,ANKRD28,3,protein level,PE1,0
NX_Q8N3T1,,GALNT15,3,transcript level,PE2,1
NX_Q96FX2,,DPH3,3,protein level,PE1,0
NX_Q96HP4,,OXNAD1,3,protein level,PE1,0
NX_Q14699,,RFTN1,3,protein level,PE1,0
NX_Q92904,,DAZL,3,protein level,PE1,0
NX_Q9UPR0,,PLCL2,3,protein level,PE1,0
NX_Q92609,,TBC1D5,3,protein level,PE1,0
NX_Q01826,,SATB1,3,protein level,PE1,0
NX_Q96L42,,KCNH8,3,transcript level,PE2,1
NX_Q8N7U6,,EFHB,3,transcript level,PE2,1
NX_P20339,,RAB5A,3,protein level,PE1,0
NX_A8MPX8,,PP2D1,3,transcript level,PE2,1
NX_Q92831,,KAT2B,3,protein level,PE1,0
NX_Q5FBB7,,SGOL1,3,protein level,PE1,0
NX_Q9H6B1,,ZNF385D,3,transcript level,PE2,1
NX_Q96LR5,,UBE2E2,3,protein level,PE1,0
NX_P51965,,UBE2E1,3,protein level,PE1,0
NX_Q9NYS0,,NKIRAS1,3,protein level,PE1,0
NX_P61313,,RPL15,3,protein level,PE1,0
NX_Q14995,,NR1D2,3,protein level,PE1,0
NX_P10828,,THRB,3,protein level,PE1,0
NX_P10826,,RARB,3,protein level,PE1,0
NX_Q02880,,TOP2B,3,protein level,PE1,0
NX_Q96IV0,,NGLY1,3,protein level,PE1,0
NX_Q9NWU1,,OXSM,3,protein level,PE1,0
NX_Q96PB8,,LRRC3B,3,transcript level,PE2,1
NX_Q6ZWH5,,NEK10,3,protein level,PE1,0
NX_Q9Y6M7,,SLC4A7,3,protein level,PE1,0
NX_O95936,,EOMES,3,protein level,PE1,0
NX_Q7Z7K0,,CMC1,3,protein level,PE1,0
NX_Q9H6S1,,AZI2,3,protein level,PE1,0
NX_Q504Y3,,ZCWPW2,3,transcript level,PE2,1
NX_Q8N290,,C3orf53,3,uncertain,PE5,0
NX_Q6XE24,,RBMS3,3,protein level,PE1,0
NX_P37173,,TGFBR2,3,protein level,PE1,0
NX_Q6ZQY3,,GADL1,3,transcript level,PE2,1
NX_Q8TCJ2,,STT3B,3,protein level,PE1,0
NX_Q9BXB5,,OSBPL10,3,protein level,PE1,0
NX_A6NHJ4,,ZNF860,3,transcript level,PE2,1
NX_Q8N335,,GPD1L,3,protein level,PE1,0
NX_Q8IZV2,,CMTM8,3,protein level,PE1,0
NX_Q96FZ5,,CMTM7,3,protein level,PE1,0
NX_Q9NX76,,CMTM6,3,protein level,PE1,0
NX_Q9Y6G9,,DYNC1LI1,3,protein level,PE1,0
NX_Q9H9A5,,CNOT10,3,protein level,PE1,0
NX_Q6UXU1,,-,3,uncertain,PE5,0
NX_Q2Q1W2,,TRIM71,3,protein level,PE1,0
NX_P51679,,CCR4,3,protein level,PE1,0
NX_P16278,,GLB1,3,protein level,PE1,0
NX_Q6ZT21,,TMPPE,3,protein level,PE1,0
NX_O75718,,CRTAP,3,protein level,PE1,0
NX_O60279,,SUSD5,3,protein level,PE1,0
NX_Q9UKC9,,FBXL2,3,protein level,PE1,0
NX_Q9NZI7,,UBP1,3,protein level,PE1,0
NX_O75122,,CLASP2,3,protein level,PE1,0
NX_Q8WUM4,,PDCD6IP,3,protein level,PE1,0
NX_Q9UBL0,,ARPP21,3,protein level,PE1,0
NX_Q99469,,STAC,3,protein level,PE1,0
NX_Q9C098,,DCLK3,3,protein level,PE1,0
NX_O15050,,TRANK1,3,protein level,PE1,0
NX_Q7L775,,EPM2AIP1,3,protein level,PE1,0
NX_P40692,,MLH1,3,protein level,PE1,0
NX_Q9Y608,,LRRFIP2,3,protein level,PE1,0
NX_Q13439,,GOLGA4,3,protein level,PE1,0
NX_Q8IVJ8,,APRG1,3,transcript level,PE2,1
NX_Q13797,,ITGA9,3,protein level,PE1,0
NX_O15194,,CTDSPL,3,protein level,PE1,0
NX_O15195,,VILL,3,protein level,PE1,0
NX_P51178,,PLCD1,3,protein level,PE1,0
NX_Q9Y238,,DLEC1,3,protein level,PE1,0
NX_P09110,,ACAA1,3,protein level,PE1,0
NX_Q99836,,MYD88,3,protein level,PE1,0
NX_O95747,,OXSR1,3,protein level,PE1,0
NX_Q9Y226,,SLC22A13,3,transcript level,PE2,1
NX_Q9Y267,,SLC22A14,3,transcript level,PE2,1
