Protein,Anchor,Gene,Chromosome,Source,Score
G5E9H5,0,ENSG00000086300,7,PICR,3
G5E9H6,1,ENSG00000197380,19,PICR,3
G5E9I0,0,ENSG00000055118,7,PICR,3
G5E9I3,0,ENSG00000103544,16,PICR,3
G5E9I4,0,ENSG00000174744,11,PICR,3
G5E9I6,1,ENSG00000166974,18,PICR,3
G5E9I8,0,ENSG00000184674,22,PICR,3
G5E9I9,0,ENSG00000205835,3,PICR,3
G5E9J0,0,ENSG00000163466,2,PICR,3
G5E9J1,0,ENSG00000148341,9,PICR,3
G5E9J3,0,ENSG00000122852,10,PICR,3
G5E9J4,0,ENSG00000113838,3,PICR,3
G5E9J6,1,ENSG00000227975,9,PICR,3
G5E9J7,0,ENSG00000072195,2,PICR,3
G5E9J8,1,ENSG00000183628,22,PICR,3
G5E9K1,0,ENSG00000158560,7,PICR,3
G5E9K2,0,ENSG00000198822,7,PICR,3
G5E9K3,0,ENSG00000213658,16,PICR,3
G5E9K4,0,ENSG00000164619,7,PICR,3
G5E9K5,0,ENSG00000129534,14,PICR,3
G5E9K6,0,ENSG00000127990,7,PICR,3
G5E9K8,0,ENSG00000184674,22,PICR,3
G5E9K9,0,ENSG00000111737,12,PICR,3
G5E9L0,0,ENSG00000149182,11,PICR,3
G5E9L1,1,ENSG00000197748,10,PICR,3
G5E9L2,0,ENSG00000108107,19,PICR,3
G5E9L4,0,ENSG00000075790,7,PICR,3
G5E9L5,0,ENSG00000100201,22,PICR,3
G5E9L6,1,ENSG00000125734,19,PICR,3
G5E9L8,0,ENSG00000114346,3,PICR,3
G5E9L9,1,ENSG00000170390,4,PICR,3
G5E9M0,0,ENSG00000175287,9,PICR,3
G5E9M4,0,ENSG00000198839,7,PICR,3
G5E9M5,1,ENSG00000129351,19,PICR,3
G5E9M7,0,ENSG00000144560,3,PICR,3
G5E9M8,1,ENSG00000185591,12,PICR,3
G5E9M9,0,ENSG00000144560,3,PICR,3
G5E9N0,0,ENSG00000168032,3,PICR,3
G5E9N1,1,ENSG00000164077,3,PICR,3
G5E9N2,0,ENSG00000067445,X,PICR,3
G5E9N3,1,ENSG00000042445,2,PICR,3
G5E9N4,1,ENSG00000197937,19,PICR,3
G5E9N5,0,ENSG00000178038,3,PICR,3
G5E9N6,0,ENSG00000162928,2,PICR,3
G5E9N8,1,ENSG00000176018,5,PICR,3
G5E9P1,0,ENSG00000150995,3,PICR,3
G5E9P3,1,ENSG00000197885,3,PICR,3
G5E9P4,0,ENSG00000162976,2,PICR,3
G5E9P5,0,ENSG00000172590,14,PICR,3
G5E9P6,0,ENSG00000112096,6,PICR,3
G5E9P7,0,ENSG00000184674,22,PICR,3
G5E9Q2,0,ENSG00000009307,1,PICR,3
G5E9Q4,0,ENSG00000180228,2,PICR,3
G5E9Q5,1,ENSG00000115073,2,PICR,3
G5E9Q6,0,ENSG00000070087,3,PICR,3
G5E9Q7,0,ENSG00000267989,HG1497_PATCH,PICR,3
G5E9Q8,0,ENSG00000187736,2,PICR,3
G5E9R0,0,ENSG00000075624,7,PICR,3
G5E9R1,1,ENSG00000114737,3,PICR,3
G5E9R2,1,ENSG00000137843,15,PICR,3
G5E9R3,0,ENSG00000197756,2,PICR,3
G5E9R5,0,ENSG00000143727,2,PICR,3
G5E9R6,0,ENSG00000184182,2,PICR,3
G5E9R7,1,ENSG00000262520,HSCHR17_4_CTG4,PICR,3
G5E9R8,1,ENSG00000167525,17,PICR,3
G5E9R9,0,ENSG00000116747,1,PICR,3
G5E9S1,0,ENSG00000114867,3,PICR,3
G5E9S2,0,ENSG00000133835,5,PICR,3
G5E9S4,0,ENSG00000123411,12,PICR,3
G5E9S6,0,ENSG00000125046,3,PICR,3
G5E9S7,0,ENSG00000163466,2,PICR,3
G5E9S8,0,ENSG00000126214,14,PICR,3
G5E9S9,0,ENSG00000146151,6,PICR,3
G5E9T5,0,ENSG00000137821,15,PICR,3
G5E9T8,0,ENSG00000108587,17,PICR,3
G5E9U2,0,ENSG00000106034,7,PICR,3
G5E9U3,0,ENSG00000091138,7,PICR,3
G5E9U5,0,ENSG00000268690,HG1497_PATCH,PICR,3
G5E9U6,0,ENSG00000119782,2,PICR,3
G5E9U7,0,ENSG00000173889,3,PICR,3
G5E9U8,0,ENSG00000138496,3,PICR,3
G5E9U9,1,ENSG00000059378,7,PICR,3
G5E9V0,0,ENSG00000107147,9,PICR,3
G5E9V1,0,ENSG00000114354,3,PICR,3
G5E9V2,0,ENSG00000205981,3,PICR,3
G5E9V3,0,ENSG00000144824,3,PICR,3
G5E9V4,1,ENSG00000163755,3,PICR,3
G5E9V5,0,ENSG00000175110,3,PICR,3
G5E9V6,0,ENSG00000114098,3,PICR,3
G5E9V7,0,ENSG00000114098,3,PICR,3
G5E9V8,0,ENSG00000114861,3,PICR,3
G5E9V9,1,ENSG00000081154,3,PICR,3
G5E9W0,1,ENSG00000144837,3,PICR,3
G5E9W1,0,ENSG00000163659,3,PICR,3
G5E9W2,0,ENSG00000033100,7,PICR,3
G5E9W3,0,ENSG00000119203,2,PICR,3
G5E9W5,0,ENSG00000139865,14,PICR,3
G5E9W6,1,ENSG00000213213,9,PICR,3
G5E9W7,0,ENSG00000175110,3,PICR,3
G5E9W8,0,ENSG00000163754,3,PICR,3
G5E9W9,0,ENSG00000133574,7,PICR,3
G5E9X0,0,ENSG00000163728,3,PICR,3
G5E9X1,0,ENSG00000102786,13,PICR,3
G5E9X2,0,ENSG00000163848,3,PICR,3
G5E9X3,1,ENSG00000102531,13,PICR,3
G5E9X4,0,ENSG00000135423,12,PICR,3
G5E9X5,0,ENSG00000078070,3,PICR,3
G5E9X8,0,ENSG00000156096,4,PICR,3
G5E9X9,1,ENSG00000231171,4,PICR,3
G5E9Y0,0,ENSG00000176049,5,PICR,3
G5E9Y1,0,ENSG00000163697,4,PICR,3
G5E9Y3,0,ENSG00000120318,5,PICR,3
G5E9Y4,0,ENSG00000113716,5,PICR,3
G5E9Y5,0,ENSG00000155158,9,PICR,3
G5E9Y6,1,ENSG00000150628,4,PICR,3
G5E9Y7,0,ENSG00000169744,4,PICR,3
G5E9Y8,0,ENSG00000197826,4,PICR,3
G5E9Z0,0,ENSG00000164117,4,PICR,3
G5E9Z1,1,ENSG00000151612,4,PICR,3
G5E9Z2,1,ENSG00000049656,5,PICR,3
G5E9Z3,0,ENSG00000137601,4,PICR,3
G5E9Z4,1,ENSG00000038210,4,PICR,3
G5E9Z5,0,ENSG00000137473,4,PICR,3
G5E9Z6,0,ENSG00000151834,4,PICR,3
G5E9Z7,0,ENSG00000151883,5,PICR,3
G5E9Z9,0,ENSG00000109771,4,PICR,3
G5EA00,0,ENSG00000169609,15,PICR,3
G5EA02,0,ENSG00000138658,4,PICR,3
G5EA03,0,ENSG00000064042,4,PICR,3
G5EA06,0,ENSG00000113048,5,PICR,3
G5EA07,1,ENSG00000170234,5,PICR,3
G5EA08,0,ENSG00000119280,1,PICR,3
G5EA09,0,ENSG00000137575,8,PICR,3
G5EA12,0,ENSG00000229415,14,PICR,3
G5EA13,0,ENSG00000164930,8,PICR,3
G5EA16,0,ENSG00000015592,8,PICR,3
G5EA18,0,ENSG00000040341,8,PICR,3
G5EA19,0,ENSG00000147687,8,PICR,3
G5EA20,0,ENSG00000129295,8,PICR,3
G5EA21,0,ENSG00000110077,11,PICR,3
G5EA23,0,ENSG00000267619,HG299_PATCH,PICR,3
G5EA24,1,ENSG00000153898,1,PICR,3
G5EA25,0,ENSG00000165323,11,PICR,3
G5EA26,0,ENSG00000080854,11,PICR,3
G5EA27,0,ENSG00000168569,11,PICR,3
G5EA28,0,ENSG00000134575,11,PICR,3
G5EA29,1,ENSG00000092208,14,PICR,3
G5EA30,0,ENSG00000149187,11,PICR,3
G5EA31,0,ENSG00000176986,10,PICR,3
G5EA35,1,ENSG00000255501,11,PICR,3
G5EA36,0,ENSG00000004897,17,PICR,3
G5EA37,1,ENSG00000070540,17,PICR,3
G5EA38,1,ENSG00000181873,1,PICR,3
G5EA39,0,ENSG00000110200,11,PICR,3
G5EA40,0,ENSG00000139160,12,PICR,3
G5EA41,0,ENSG00000111404,12,PICR,3
G5EA42,1,ENSG00000128872,15,PICR,3
G5EA43,0,ENSG00000166682,11,PICR,3
G5EA44,0,ENSG00000157895,12,PICR,3
G5EA45,0,ENSG00000146122,6,PICR,3
G5EA46,0,ENSG00000123977,2,PICR,3
G5EA47,0,ENSG00000166682,11,PICR,3
G5EA48,1,ENSG00000196935,12,PICR,3
G5EA49,0,ENSG00000121964,2,PICR,3
G5EA50,0,ENSG00000139154,12,PICR,3
G5EA51,0,ENSG00000133063,1,PICR,3
G5EA52,0,ENSG00000167004,15,PICR,3
G5EA54,0,ENSG00000151338,14,PICR,3
G5EA56,0,ENSG00000205683,14,PICR,3
G5EA57,1,ENSG00000124251,20,PICR,3
G5EA58,0,ENSG00000261883,HG299_PATCH,PICR,3
G8JL86,0,ENSG00000082438,2,PICR,3
G8JL87,0,ENSG00000092200,14,PICR,3
G8JL88,0,ENSG00000100342,22,PICR,3
G8JL90,0,ENSG00000268103,HG1459_PATCH,PICR,3
G8JL95,1,ENSG00000129933,19,PICR,3
G8JL96,0,ENSG00000105426,19,PICR,3
G8JL98,0,ENSG00000139372,12,PICR,3
G8JLA1,1,ENSG00000263258,HSCHR19LRC_PGF1_CTG1,PICR,3
G8JLA2,0,ENSG00000092841,12,PICR,3
G8JLA5,0,ENSG00000139910,14,PICR,3
G8JLA7,0,ENSG00000167995,11,PICR,3
G8JLA8,0,ENSG00000120708,5,PICR,3
G8JLB0,0,ENSG00000012504,12,PICR,3
G8JLB1,0,ENSG00000102445,13,PICR,3
G8JLB2,1,ENSG00000108039,10,PICR,3
G8JLB3,0,ENSG00000177192,12,PICR,3
G8JLB4,0,ENSG00000127334,12,PICR,3
G8JLB5,0,ENSG00000166348,10,PICR,3
G8JLB6,0,ENSG00000169045,5,PICR,3
G8JLC1,1,ENSG00000107551,10,PICR,3
G8JLC2,0,ENSG00000100804,14,PICR,3
G8JLC4,0,ENSG00000136699,2,PICR,3
G8JLC6,1,ENSG00000154305,1,PICR,3
G8JLD1,0,ENSG00000188026,12,PICR,3
G8JLD3,1,ENSG00000082805,12,PICR,3
G8JLD5,0,ENSG00000087470,12,PICR,3
G8JLD6,0,ENSG00000124593,6,PICR,3
G8JLD9,1,ENSG00000196275,7,PICR,3
G8JLE0,0,ENSG00000124222,20,PICR,3
G8JLE1,0,ENSG00000221988,6,PICR,3
G8JLE3,1,ENSG00000162687,1,PICR,3
G8JLE5,1,ENSG00000075131,15,PICR,3
G8JLE8,1,ENSG00000198873,10,PICR,3
G8JLE9,0,ENSG00000268103,HG1459_PATCH,PICR,3
G8JLF3,0,ENSG00000196642,9,PICR,3
G8JLF9,0,ENSG00000264832,HG1211_PATCH,PICR,3
G8JLG1,1,ENSG00000269384,HG1433_PATCH,PICR,3
G8JLG2,1,ENSG00000204539,6,PICR,3
G8JLG4,0,ENSG00000106829,9,PICR,3
G8JLG6,0,ENSG00000119121,9,PICR,3
G8JLG7,0,ENSG00000119121,9,PICR,3
G8JLG8,1,ENSG00000175262,1,PICR,3
G8JLH1,0,ENSG00000008128,1,PICR,3
G8JLH2,0,ENSG00000101224,20,PICR,3
G8JLH5,0,ENSG00000167703,17,PICR,3
G8JLH6,0,ENSG00000010278,12,PICR,3
G8JLH8,0,ENSG00000242612,16,PICR,3
G8JLH9,1,ENSG00000168610,17,PICR,3
G8JLI0,0,ENSG00000262236,HSCHR19LRC_PGF1_CTG1,PICR,3
G8JLI2,0,ENSG00000185480,12,PICR,3
G8JLI3,0,ENSG00000110075,11,PICR,3
G8JLI5,0,ENSG00000269698,HG1436_HG1432_PATCH,PICR,3
G8JLI6,0,ENSG00000268828,HG344_PATCH,PICR,3
G8JLI7,1,ENSG00000214575,15,PICR,3
G8JLI8,0,ENSG00000107736,10,PICR,3
G8JLJ2,0,ENSG00000112096,6,PICR,3
G8JLJ3,1,ENSG00000186577,6,PICR,3
G8JLJ5,1,ENSG00000170954,19,PICR,3
G8JLJ7,1,ENSG00000164050,3,PICR,3
G8JLK0,0,ENSG00000117859,1,PICR,3
G8JLK1,0,ENSG00000053501,19,PICR,3
G8JLK3,0,ENSG00000179364,14,PICR,3
G8JLK4,0,ENSG00000147526,8,PICR,3
G8JLK7,1,ENSG00000165271,9,PICR,3
G8JLK9,1,ENSG00000112685,6,PICR,3
G8JLL1,0,ENSG00000214711,2,PICR,3
G8JLL2,0,ENSG00000221988,6,PICR,3
G8JLL7,0,ENSG00000196814,9,PICR,3
G8JLL8,1,ENSG00000090905,16,PICR,3
G8JLL9,0,ENSG00000105357,19,PICR,3
G8JLM0,0,ENSG00000106617,7,PICR,3
G8JLM2,0,ENSG00000102543,13,PICR,3
G8JLM4,1,ENSG00000130307,19,PICR,3
G8JLM5,0,ENSG00000115966,2,PICR,3
G8JLM6,0,ENSG00000106290,7,PICR,3
G8JLN0,1,ENSG00000174428,7,PICR,3
G8JLN4,1,ENSG00000268252,HSCHR19LRC_LRC_T_CTG1,PICR,3
G8JLN6,0,ENSG00000135541,6,PICR,3
G8JLP0,0,ENSG00000132781,1,PICR,3
G8JLP2,0,ENSG00000133943,14,PICR,3
G8JLP4,0,ENSG00000166783,16,PICR,3
G8JLQ3,0,ENSG00000135441,12,PICR,3
H0UI06,0,ENSG00000112695,6,PICR,3
H0UI37,0,null,6,UniProt,3
H0Y2L4,0,ENSG00000099999,22,PICR,3
H0Y2L5,1,ENSG00000101246,20,PICR,3
H0Y2L7,0,ENSG00000117305,1,PICR,3
H0Y2M0,0,ENSG00000121210,4,PICR,3
H0Y2M6,1,ENSG00000103249,16,PICR,3
H0Y2N5,0,ENSG00000087111,17,PICR,3
H0Y2N6,0,ENSG00000141551,17,PICR,3
H0Y2P0,0,ENSG00000026508,11,PICR,3
H0Y2P2,0,ENSG00000151092,3,PICR,3
H0Y2P5,1,ENSG00000119771,2,PICR,3
H0Y2P7,1,ENSG00000162063,16,PICR,3
H0Y2P8,0,ENSG00000163486,1,PICR,3
H0Y2P9,0,ENSG00000163964,3,PICR,3
H0Y2Q0,1,ENSG00000215019,6,PICR,3
H0Y2Q1,1,ENSG00000166166,14,PICR,3
H0Y2Q5,0,ENSG00000187323,18,PICR,3
H0Y2Q8,0,ENSG00000170959,11,PICR,3
H0Y2R3,0,ENSG00000049618,6,PICR,3
H0Y2R5,0,ENSG00000196782,4,PICR,3
H0Y2R6,0,ENSG00000243660,10,PICR,3
H0Y2S0,1,ENSG00000176134,9,PICR,3
H0Y2S1,1,ENSG00000178605,X,PICR,3
H0Y2S2,0,ENSG00000011143,17,PICR,3
H0Y2S8,0,ENSG00000112715,6,PICR,3
H0Y2S9,0,ENSG00000133030,17,PICR,3
H0Y2T8,0,ENSG00000107614,10,PICR,3
H0Y2U3,1,ENSG00000069018,5,PICR,3
H0Y2U4,1,ENSG00000167522,16,PICR,3
H0Y2U5,1,ENSG00000248751,22,PICR,3
H0Y2U6,0,ENSG00000198788,11,PICR,3
H0Y2U7,0,ENSG00000100142,22,PICR,3
H0Y2U9,0,ENSG00000111452,12,PICR,3
H0Y2V1,0,ENSG00000047849,3,PICR,3
H0Y2V5,0,ENSG00000124116,20,PICR,3
H0Y2V6,0,ENSG00000143702,1,PICR,3
H0Y2V7,1,ENSG00000101004,20,PICR,3
H0Y2V8,1,ENSG00000161509,17,PICR,3
H0Y2W2,1,ENSG00000197785,1,PICR,3
H0Y2W3,1,ENSG00000122376,10,PICR,3
H0Y2W4,0,ENSG00000101353,20,PICR,3
H0Y2W5,0,ENSG00000068383,10,PICR,3
H0Y2W6,0,ENSG00000188389,2,PICR,3
H0Y2X0,0,ENSG00000115827,2,PICR,3
H0Y2X1,1,ENSG00000178927,17,PICR,3
H0Y2X2,0,ENSG00000168614,1,PICR,3
H0Y2X3,1,ENSG00000214967,16,PICR,3
H0Y2X4,1,ENSG00000178752,2,PICR,3
H0Y2X5,1,ENSG00000184254,15,PICR,3
H0Y2X7,0,ENSG00000092068,14,PICR,3
H0Y2X9,0,ENSG00000215019,6,PICR,3
H0Y2Y0,0,ENSG00000168397,2,PICR,3
H0Y2Y1,0,ENSG00000145113,3,PICR,3
H0Y2Y4,1,ENSG00000175048,6,PICR,3
H0Y2Y5,1,ENSG00000139597,13,PICR,3
H0Y2Y8,0,ENSG00000159840,7,PICR,3
H0Y2Z1,0,ENSG00000099954,22,PICR,3
H0Y2Z6,1,ENSG00000214279,10,PICR,3
H0Y2Z9,0,ENSG00000156453,5,PICR,3
H0Y300,1,ENSG00000257017,16,PICR,3
H0Y301,0,ENSG00000111554,12,PICR,3
H0Y304,0,ENSG00000198947,X,PICR,3
H0Y306,0,ENSG00000152455,10,PICR,3
H0Y307,0,ENSG00000137177,6,PICR,3
H0Y310,1,ENSG00000167377,16,PICR,3
H0Y313,1,ENSG00000186439,6,PICR,3
H0Y314,0,ENSG00000127603,1,PICR,3
H0Y317,0,ENSG00000198788,11,PICR,3
H0Y320,1,ENSG00000117009,1,PICR,3
H0Y322,0,ENSG00000183814,1,PICR,3
H0Y325,0,ENSG00000131018,6,PICR,3
H0Y326,0,ENSG00000131018,6,PICR,3
H0Y327,1,ENSG00000120254,6,PICR,3
H0Y328,0,ENSG00000116833,1,PICR,3
H0Y329,0,ENSG00000269698,HG1436_HG1432_PATCH,PICR,3
H0Y330,1,ENSG00000143355,1,PICR,3
H0Y332,1,ENSG00000164506,6,PICR,3
H0Y333,0,ENSG00000118492,6,PICR,3
H0Y334,0,ENSG00000118492,6,PICR,3
H0Y335,0,ENSG00000118492,6,PICR,3
H0Y337,1,ENSG00000152818,6,PICR,3
H0Y338,1,ENSG00000116191,1,PICR,3
H0Y339,0,ENSG00000143207,1,PICR,3
H0Y340,0,ENSG00000143207,1,PICR,3
H0Y343,0,ENSG00000135541,6,PICR,3
H0Y345,0,ENSG00000158488,1,PICR,3
H0Y346,0,ENSG00000132677,1,PICR,3
H0Y349,0,ENSG00000165752,10,PICR,3
H0Y351,0,ENSG00000112769,6,PICR,3
H0Y353,0,ENSG00000107938,10,PICR,3
H0Y354,1,ENSG00000203817,1,PICR,3
H0Y355,1,ENSG00000198019,1,PICR,3
H0Y357,0,ENSG00000065609,6,PICR,3
H0Y359,0,ENSG00000118420,6,PICR,3
H0Y360,0,ENSG00000116337,1,PICR,3
H0Y362,1,ENSG00000162695,1,PICR,3
H0Y368,0,ENSG00000000419,20,PICR,3
H0Y376,1,ENSG00000133678,10,PICR,3
H0Y379,0,ENSG00000156113,10,PICR,3
H0Y380,0,ENSG00000142949,1,PICR,3
H0Y382,0,ENSG00000156113,10,PICR,3
H0Y384,0,ENSG00000136811,9,PICR,3
H0Y386,0,ENSG00000101104,20,PICR,3
H0Y390,0,ENSG00000127603,1,PICR,3
H0Y393,0,ENSG00000172752,3,PICR,3
H0Y394,0,ENSG00000115677,2,PICR,3
H0Y396,0,ENSG00000132330,2,PICR,3
H0Y397,1,ENSG00000124143,20,PICR,3
H0Y398,0,ENSG00000156639,6,PICR,3
H0Y3A0,0,ENSG00000136942,9,PICR,3
H0Y3A3,0,ENSG00000136848,9,PICR,3
H0Y3A4,0,ENSG00000151150,10,PICR,3
H0Y3A8,1,ENSG00000148219,9,PICR,3
H0Y3B2,1,ENSG00000142798,1,PICR,3
H0Y3B3,1,ENSG00000230930,HSCHR6_MHC_DBB,PICR,3
H0Y3B5,1,ENSG00000235708,HSCHR6_MHC_MCF,PICR,3
H0Y3B8,0,ENSG00000185920,9,PICR,3
H0Y3B9,1,ENSG00000180901,17,PICR,3
H0Y3C2,0,ENSG00000168614,1,PICR,3
H0Y3C3,1,ENSG00000214167,17,PICR,3
H0Y3C5,0,ENSG00000101336,20,PICR,3
H0Y3C6,0,ENSG00000142621,1,PICR,3
H0Y3D0,1,ENSG00000197586,20,PICR,3
H0Y3D4,0,ENSG00000083067,9,PICR,3
H0Y3D6,0,ENSG00000204740,10,PICR,3
H0Y3E3,0,ENSG00000167522,16,PICR,3
H0Y3E4,0,ENSG00000069018,5,PICR,3
H0Y3E8,0,ENSG00000198947,X,PICR,3
H0Y3E9,1,ENSG00000167543,17,PICR,3
H0Y3F0,0,ENSG00000184937,11,PICR,3
H0Y3F1,0,ENSG00000162572,1,PICR,3
H0Y3G0,0,ENSG00000036530,14,PICR,3
H0Y3G1,1,ENSG00000168994,6,PICR,3
H0Y3G3,1,ENSG00000124570,6,PICR,3
H0Y3G5,0,ENSG00000205726,21,PICR,3
H0Y3G9,0,ENSG00000149043,11,PICR,3
H0Y3H0,0,ENSG00000244242,11,PICR,3
H0Y3H2,1,ENSG00000167972,16,PICR,3
H0Y3H5,1,ENSG00000171885,18,PICR,3
H0Y3H6,0,ENSG00000166278,6,PICR,3
H0Y3I2,0,ENSG00000167419,17,PICR,3
H0Y3I3,1,ENSG00000183346,10,PICR,3
H0Y3I8,0,ENSG00000176293,19,PICR,3
H0Y3J4,1,ENSG00000112562,6,PICR,3
H0Y3K0,1,ENSG00000196911,6,PICR,3
H0Y3K2,0,ENSG00000144357,2,PICR,3
H0Y3K3,0,ENSG00000184863,7,PICR,3
H0Y3K4,0,ENSG00000184863,7,PICR,3
H0Y3K7,0,ENSG00000099204,10,PICR,3
H0Y3L3,0,ENSG00000166012,11,PICR,3
H0Y3M0,1,ENSG00000136940,9,PICR,3
H0Y3M2,1,ENSG00000010244,17,PICR,3
H0Y3M3,0,ENSG00000149499,11,PICR,3
H0Y3M4,0,ENSG00000188372,7,PICR,3
H0Y3M9,0,ENSG00000230930,HSCHR6_MHC_DBB,PICR,3
H0Y3N9,0,ENSG00000268312,HG1433_PATCH,PICR,3
H0Y3P2,0,ENSG00000110321,11,PICR,3
H0Y3P5,0,ENSG00000183091,2,PICR,3
H0Y3Q0,0,ENSG00000140479,15,PICR,3
H0Y3Q1,0,ENSG00000214376,11,PICR,3
H0Y3Q4,0,ENSG00000188107,6,PICR,3
H0Y3Q6,0,ENSG00000244694,6,PICR,3
H0Y3Q8,0,ENSG00000124571,6,PICR,3
H0Y3Q9,1,ENSG00000047346,15,PICR,3
H0Y3R3,0,ENSG00000215131,16,PICR,3
H0Y3R4,0,ENSG00000168137,3,PICR,3
H0Y3R5,0,ENSG00000099968,22,PICR,3
H0Y3R8,0,ENSG00000104067,15,PICR,3
H0Y3S0,1,ENSG00000188992,21,PICR,3
H0Y3S1,1,ENSG00000088387,13,PICR,3
H0Y3S4,1,ENSG00000177398,21,PICR,3
H0Y3S5,0,ENSG00000101353,20,PICR,3
H0Y3S6,1,ENSG00000099715,Y,PICR,3
H0Y3S8,0,ENSG00000132906,1,PICR,3
H0Y3S9,0,ENSG00000049618,6,PICR,3
H0Y3T0,1,ENSG00000268946,HG1426_PATCH,PICR,3
H0Y3T1,1,ENSG00000125462,1,PICR,3
H0Y3T2,0,ENSG00000152042,1,PICR,3
H0Y3T6,0,ENSG00000078808,1,PICR,3
H0Y3T7,0,ENSG00000182150,9,PICR,3
H0Y3T8,0,ENSG00000121417,19,PICR,3
H0Y3T9,1,ENSG00000047936,6,PICR,3
H0Y3U0,0,ENSG00000100362,22,PICR,3
H0Y3U1,0,ENSG00000112137,6,PICR,3
H0Y3U4,0,ENSG00000189292,2,PICR,3
H0Y3U5,0,ENSG00000163331,2,PICR,3
H0Y3U6,0,ENSG00000147257,X,PICR,3
H0Y3U8,1,ENSG00000133048,1,PICR,3
H0Y3V1,1,ENSG00000187546,7,PICR,3
H0Y3V3,0,ENSG00000117114,1,PICR,3
H0Y3V4,0,ENSG00000065150,13,PICR,3
H0Y3V5,0,ENSG00000115970,2,PICR,3
H0Y3V6,0,ENSG00000159784,7,PICR,3
H0Y3V7,0,ENSG00000068724,2,PICR,3
H0Y3V8,1,ENSG00000166224,10,PICR,3
H0Y3V9,1,ENSG00000269719,HG1439_PATCH,PICR,3
H0Y3W0,0,ENSG00000072195,2,PICR,3
H0Y3W3,0,ENSG00000124571,6,PICR,3
H0Y3W8,1,ENSG00000112394,6,PICR,3
H0Y3W9,1,ENSG00000108001,10,PICR,3
H0Y3X1,0,ENSG00000269324,HG1502_PATCH,PICR,3
H0Y3X5,1,ENSG00000135318,6,PICR,3
H0Y3X6,0,ENSG00000185049,4,PICR,3
H0Y3X7,0,ENSG00000162669,1,PICR,3
H0Y3Y0,1,ENSG00000148308,9,PICR,3
H0Y3Y3,0,ENSG00000067057,10,PICR,3
H0Y3Y4,0,ENSG00000122545,7,PICR,3
H0Y3Y5,0,ENSG00000168781,15,PICR,3
H0Y3Y6,0,ENSG00000213639,2,PICR,3
H0Y3Y7,0,ENSG00000089101,20,PICR,3
H0Y3Y9,0,ENSG00000159352,1,PICR,3
H0Y3Z0,0,ENSG00000185760,6,PICR,3
H0Y3Z3,0,ENSG00000185624,17,PICR,3
H0Y3Z4,0,ENSG00000162736,1,PICR,3
H0Y3Z8,1,ENSG00000249624,21,PICR,3
H0Y400,0,ENSG00000215425,HSCHR6_MHC_QBL,PICR,3
H0Y401,1,ENSG00000215910,1,PICR,3
H0Y403,0,ENSG00000153814,7,PICR,3
H0Y405,1,ENSG00000148488,10,PICR,3
H0Y406,0,ENSG00000156113,10,PICR,3
H0Y407,0,ENSG00000112715,6,PICR,3
H0Y408,0,ENSG00000124224,20,PICR,3
H0Y409,0,ENSG00000049089,1,PICR,3
H0Y411,0,ENSG00000154358,1,PICR,3
H0Y412,1,ENSG00000130723,9,PICR,3
H0Y413,0,ENSG00000012211,X,PICR,3
H0Y414,0,ENSG00000112715,6,PICR,3
H0Y415,1,ENSG00000117154,1,PICR,3
H0Y416,1,ENSG00000174175,1,PICR,3
H0Y420,0,ENSG00000065618,10,PICR,3
H0Y424,0,ENSG00000136153,13,PICR,3
H0Y426,1,ENSG00000226589,HSCHR6_MHC_COX,PICR,3
H0Y429,0,ENSG00000065243,1,PICR,3
H0Y430,1,ENSG00000261074,HG998_1_PATCH,PICR,3
H0Y431,0,ENSG00000165752,10,PICR,3
H0Y432,1,ENSG00000138180,10,PICR,3
H0Y439,0,ENSG00000100142,22,PICR,3
H0Y442,1,ENSG00000039523,16,PICR,3
H0Y447,0,ENSG00000102543,13,PICR,3
H0Y448,0,ENSG00000077063,7,PICR,3
H0Y449,0,ENSG00000065978,1,PICR,3
H0Y450,1,ENSG00000146282,6,PICR,3
H0Y451,0,ENSG00000136002,2,PICR,3
H0Y452,0,ENSG00000146826,7,PICR,3
H0Y454,1,ENSG00000164972,9,PICR,3
H0Y455,0,ENSG00000138346,10,PICR,3
H0Y456,1,ENSG00000124098,20,PICR,3
H0Y458,0,ENSG00000149527,1,PICR,3
H0Y459,0,ENSG00000141027,17,PICR,3
H0Y462,0,ENSG00000112715,6,PICR,3
H0Y463,1,ENSG00000185658,21,PICR,3
H0Y465,0,ENSG00000196712,17,PICR,3
H0Y468,0,ENSG00000107863,10,PICR,3
H0Y470,0,ENSG00000115355,2,PICR,3
H0Y472,0,ENSG00000131503,5,PICR,3
H0Y473,0,ENSG00000197586,20,PICR,3
H0Y474,0,ENSG00000213760,6,PICR,3
H0Y476,0,ENSG00000182389,2,PICR,3
H0Y477,1,ENSG00000128951,15,PICR,3
H0Y479,1,ENSG00000203709,1,PICR,3
H0Y480,0,ENSG00000222020,2,PICR,3
H0Y482,1,ENSG00000088367,20,PICR,3
H0Y483,0,ENSG00000170525,10,PICR,3
H0Y485,0,ENSG00000146674,7,PICR,3
H0Y486,1,ENSG00000006555,1,PICR,3
H0Y488,0,ENSG00000117713,1,PICR,3
H0Y492,1,ENSG00000214562,10,PICR,3
H0Y493,0,ENSG00000165238,9,PICR,3
H0Y494,0,ENSG00000160584,11,PICR,3
H0Y496,1,ENSG00000148158,9,PICR,3
H0Y498,0,ENSG00000116406,1,PICR,3
